experiment,step,train_loss,val_loss
prelayernorm,3800,2.0249,2.1049
prelayernorm,3850,2.0325,2.0892
prelayernorm,3900,2.024,2.1024
prelayernorm,3950,2.0176,2.107
prelayernorm,4000,2.0254,2.0992
prelayernorm,4050,2.0095,2.1088
prelayernorm,4100,2.0041,2.1005
prelayernorm,4150,2.0006,2.0886
prelayernorm,4200,2.0073,2.098
prelayernorm,4250,1.9987,2.0927
prelayernorm,4300,2.0015,2.0773
prelayernorm,4350,1.9921,2.0703
prelayernorm,4400,1.9991,2.081
prelayernorm,4450,2.0057,2.1015
prelayernorm,4500,1.9997,2.0699
prelayernorm,4550,1.9937,2.0801
prelayernorm,4600,1.9948,2.0835
prelayernorm,4650,1.9984,2.0737
prelayernorm,4700,1.9984,2.0847
prelayernorm,4750,1.992,2.0752
prelayernorm,4800,1.9912,2.0735
prelayernorm,4850,1.9817,2.0745
prelayernorm,4900,1.985,2.0648
prelayernorm,4950,1.9907,2.1016
resconnections,0,4.7424,4.7217
resconnections,50,3.0012,3.0348
resconnections,100,2.7843,2.7971
resconnections,150,2.6566,2.6523
resconnections,200,2.5792,2.5831
resconnections,250,2.5217,2.542
resconnections,300,2.4718,2.4759
resconnections,350,2.4525,2.4603
resconnections,400,2.4413,2.4427
resconnections,450,2.3964,2.4124
resconnections,500,2.3829,2.4099
resconnections,550,2.368,2.3685
resconnections,600,2.3397,2.3573
resconnections,650,2.3363,2.3548
resconnections,700,2.3115,2.3421
resconnections,750,2.3101,2.3284
resconnections,800,2.3052,2.3147
resconnections,850,2.2923,2.3121
resconnections,900,2.2793,2.29
resconnections,950,2.2698,2.3013
resconnections,1000,2.2612,2.2771
resconnections,1050,2.2357,2.2709
resconnections,1100,2.2518,2.2744
resconnections,1150,2.2246,2.2466
resconnections,1200,2.2151,2.2531
resconnections,1250,2.2178,2.25
resconnections,1300,2.2181,2.237
resconnections,1350,2.2027,2.233
resconnections,1400,2.1811,2.2202
resconnections,1450,2.2078,2.2364
resconnections,1500,2.1893,2.2352
resconnections,1550,2.1674,2.2151
resconnections,1600,2.1815,2.208
resconnections,1650,2.1727,2.1921
resconnections,1700,2.1638,2.1997
resconnections,1750,2.1481,2.1911
resconnections,1800,2.1604,2.2062
resconnections,1850,2.1501,2.2095
resconnections,1900,2.1461,2.1902
resconnections,1950,2.148,2.1876
resconnections,2000,2.1401,2.1829
resconnections,2050,2.1259,2.1812
resconnections,2100,2.1228,2.1745
resconnections,2150,2.1296,2.1799
resconnections,2200,2.1385,2.1737
resconnections,2250,2.122,2.1585
resconnections,2300,2.1116,2.1691
resconnections,2350,2.0978,2.1598
resconnections,2400,2.0897,2.1641
resconnections,2450,2.1145,2.1578
resconnections,2500,2.0933,2.1588
resconnections,2550,2.0863,2.1493
resconnections,2600,2.0831,2.1554
resconnections,2650,2.1009,2.1455
resconnections,2700,2.0815,2.1445
resconnections,2750,2.0795,2.139
resconnections,2800,2.0746,2.1378
resconnections,2850,2.0695,2.1369
resconnections,2900,2.0678,2.1107
resconnections,2950,2.0827,2.1425
resconnections,3000,2.0686,2.1349
resconnections,3050,2.0646,2.1249
resconnections,3100,2.0594,2.1325
resconnections,3150,2.073,2.1377
resconnections,3200,2.0752,2.1277
resconnections,3250,2.0593,2.1028
resconnections,3300,2.0505,2.1246
resconnections,3350,2.0512,2.1338
resconnections,3400,2.0576,2.1146
resconnections,3450,2.0388,2.1057
resconnections,3500,2.0445,2.1062
resconnections,3550,2.0441,2.1154
resconnections,3600,2.0366,2.1178
resconnections,3650,2.0364,2.11
resconnections,3700,2.0383,2.1244
resconnections,3750,2.0471,2.1258
resconnections,3800,2.0363,2.1166
resconnections,3850,2.0324,2.0913
resconnections,3900,2.0309,2.1098
resconnections,3950,2.0285,2.1183
resconnections,4000,2.0283,2.1002
resconnections,4050,2.0244,2.1136
resconnections,4100,2.0176,2.1152
resconnections,4150,2.0041,2.0922
resconnections,4200,2.0176,2.1022
resconnections,4250,2.0111,2.0979
resconnections,4300,2.0153,2.0909
resconnections,4350,2.0045,2.082
resconnections,4400,2.0038,2.0822
resconnections,4450,2.0055,2.1113
resconnections,4500,2.0029,2.0878
resconnections,4550,2.0111,2.1009
resconnections,4600,2.0049,2.0958
resconnections,4650,2.0048,2.0815
resconnections,4700,2.0068,2.0892
resconnections,4750,1.9981,2.0785
resconnections,4800,2.0064,2.0798
resconnections,4850,1.9895,2.0788
resconnections,4900,1.9941,2.0724
resconnections,4950,1.9934,2.1001
mha,0,4.1775,4.1888
mha,300,2.8284,2.8553
mha,600,2.6416,2.6699
mha,900,2.5499,2.5728
mha,1200,2.5163,2.5024
mha,1500,2.431,2.4198
mha,1800,2.4014,2.3798
mha,2100,2.375,2.3492
mha,2400,2.3698,2.3374
mha,2700,2.3166,2.3435
mha,3000,2.3108,2.3417
mha,3300,2.2913,2.3145
mha,3600,2.311,2.306
mha,3900,2.2855,2.289
mha,4200,2.2686,2.2934
mha,4500,2.2682,2.2693
mha,4800,2.2487,2.2835
scaleup,0,4.3056,4.3041
scaleup,50,2.5213,2.5331
scaleup,100,2.4728,2.4869
scaleup,150,2.4355,2.463
scaleup,200,2.3614,2.3956
